,Points Scored,FG,FG%,3P,3P%,ORB,Assists,Steals,OffRank,OppDefRank,Pace
0,126.0,45.0,0.517,11.0,0.314,10.0,27.0,5.0,117.4,117.4,
1,111.0,39.0,0.453,16.0,0.41,5.0,25.0,8.0,107.0,107.0,
2,122.0,45.0,0.469,11.0,0.333,14.0,23.0,11.0,114.3,114.3,
3,102.0,35.0,0.389,9.0,0.321,14.0,11.0,5.0,97.2,97.2,
4,100.0,39.0,0.476,16.0,0.41,10.0,24.0,4.0,119.6,119.6,
5,107.0,39.0,0.481,8.0,0.267,5.0,19.0,7.0,106.5,106.5,
6,132.0,34.0,0.382,8.0,0.276,9.0,17.0,5.0,93.3,93.3,
7,102.0,46.0,0.505,10.0,0.345,10.0,28.0,13.0,114.0,114.0,
8,100.0,42.0,0.5,14.0,0.438,11.0,26.0,10.0,112.5,112.5,
9,109.0,42.0,0.488,13.0,0.394,10.0,25.0,6.0,110.3,110.3,
10,91.0,31.0,0.369,12.0,0.375,12.0,20.0,6.0,88.5,88.5,
11,120.0,46.0,0.523,17.0,0.425,2.0,25.0,8.0,111.6,111.6,
12,103.0,42.0,0.472,8.0,0.235,8.0,25.0,6.0,105.0,105.0,
13,103.0,37.0,0.389,14.0,0.341,14.0,24.0,7.0,102.0,102.0,
14,133.0,47.0,0.547,16.0,0.432,13.0,28.0,5.0,135.3,135.3,
15,107.0,33.0,0.388,5.0,0.192,12.0,19.0,7.0,86.5,86.5,
16,104.0,39.0,0.419,17.0,0.415,10.0,16.0,6.0,102.1,102.1,
17,126.0,45.0,0.489,20.0,0.435,7.0,32.0,8.0,119.1,119.1,
18,136.0,49.0,0.48,28.0,0.538,10.0,30.0,8.0,130.1,130.1,
19,87.0,33.0,0.384,12.0,0.261,5.0,21.0,11.0,81.3,81.3,
20,115.0,41.0,0.471,19.0,0.422,8.0,26.0,8.0,117.9,117.9,
21,106.0,37.0,0.425,8.0,0.32,7.0,22.0,6.0,107.8,107.8,
22,94.0,35.0,0.407,13.0,0.277,8.0,20.0,9.0,98.6,98.6,
23,101.0,38.0,0.418,13.0,0.302,12.0,24.0,5.0,105.0,105.0,
24,94.0,34.0,0.43,15.0,0.357,8.0,24.0,6.0,104.7,104.7,
25,99.0,33.0,0.375,8.0,0.186,12.0,17.0,5.0,102.6,102.6,
26,119.0,43.0,0.473,8.0,0.216,9.0,23.0,9.0,107.8,107.8,
27,113.0,42.0,0.457,15.0,0.319,9.0,26.0,13.0,106.3,106.3,
28,100.0,49.0,0.538,15.0,0.417,8.0,24.0,5.0,121.0,121.0,
29,96.0,36.0,0.4,10.0,0.303,9.0,18.0,8.0,102.7,102.7,
30,111.0,39.0,0.429,16.0,0.34,7.0,23.0,4.0,111.6,111.6,
31,84.0,50.0,0.532,10.0,0.333,11.0,27.0,16.0,122.0,122.0,
32,90.0,36.0,0.493,10.0,0.333,6.0,23.0,7.0,106.5,106.5,
33,114.0,49.0,0.576,17.0,0.486,10.0,33.0,5.0,134.4,134.4,
34,105.0,41.0,0.414,11.0,0.244,10.0,24.0,7.0,98.5,98.5,
35,99.0,41.0,0.366,9.0,0.209,19.0,15.0,11.0,96.4,96.4,
36,107.0,51.0,0.554,18.0,0.486,10.0,29.0,8.0,130.1,130.1,
37,107.0,44.0,0.512,17.0,0.459,9.0,32.0,8.0,127.4,127.4,
38,94.0,41.0,0.456,16.0,0.356,6.0,32.0,7.0,105.9,105.9,
39,100.0,37.0,0.435,14.0,0.483,12.0,28.0,7.0,116.5,116.5,
40,112.0,42.0,0.462,13.0,0.333,19.0,22.0,8.0,117.5,117.5,
41,117.0,37.0,0.425,10.0,0.25,8.0,19.0,6.0,100.0,100.0,
42,97.0,41.0,0.513,18.0,0.474,10.0,27.0,4.0,133.1,133.1,
43,101.0,37.0,0.425,17.0,0.386,7.0,26.0,5.0,97.9,97.9,
44,129.0,50.0,0.543,18.0,0.462,10.0,29.0,7.0,134.1,134.1,
45,110.0,46.0,0.541,11.0,0.355,7.0,31.0,8.0,116.3,116.3,
46,108.0,39.0,0.5,13.0,0.325,6.0,22.0,5.0,115.6,115.6,
47,102.0,37.0,0.43,12.0,0.333,10.0,26.0,6.0,106.6,106.6,
48,115.0,42.0,0.462,16.0,0.432,16.0,26.0,12.0,115.8,115.8,
49,130.0,44.0,0.512,18.0,0.486,6.0,29.0,11.0,128.3,128.3,
50,102.0,33.0,0.379,10.0,0.256,11.0,16.0,4.0,100.8,100.8,
51,109.0,39.0,0.47,12.0,0.324,12.0,28.0,3.0,113.2,113.2,
52,109.0,41.0,0.466,13.0,0.351,13.0,25.0,8.0,106.8,106.8,
53,120.0,44.0,0.506,17.0,0.405,12.0,32.0,9.0,117.5,117.5,
54,124.0,50.0,0.532,15.0,0.417,11.0,28.0,10.0,121.0,121.0,
55,99.0,46.0,0.489,9.0,0.29,18.0,22.0,11.0,132.8,132.8,
56,114.0,42.0,0.512,16.0,0.471,10.0,26.0,7.0,114.2,114.2,
57,91.0,33.0,0.388,9.0,0.237,6.0,20.0,8.0,93.7,93.7,
58,89.0,41.0,0.456,17.0,0.37,9.0,27.0,7.0,110.7,110.7,
59,104.0,39.0,0.402,12.0,0.353,14.0,22.0,8.0,106.0,106.0,
60,116.0,41.0,0.5,15.0,0.375,6.0,27.0,10.0,113.2,113.2,
61,107.0,45.0,0.484,10.0,0.263,12.0,29.0,10.0,109.8,109.8,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
